Title ,Author,Date Started,Date Finished,Reading time,Is fiction
"Useful, not true",Derek Sivers,18/10/2025,21/10/2025,3d,FALSE
Poor Charlie's Almanack,Peter D. Kaufman,07/09/2025,19/11/2025,73d,FALSE
"Лісом, небом, водою - 03 - Інженер",Сергій Оксеник,20/08/2025,04/09/2025,15d,TRUE
"Лісом, небом, водою - 02 - Леля",Сергій Оксеник,11/08/2025,20/08/2025,9d,TRUE
"Лісом, небом, водою - 01 - Лисий",Сергій Оксеник,25/07/2025,29/07/2025,4d,TRUE
Deep Work,Cal Newport,23/07/2025,,,FALSE
The Goal,Eliyahu M. Goldratt,07/07/2025,23/07/2025,16d,TRUE
Hatching Twitter,Nick Bilton,22/04/2025,01/06/2025,40d,FALSE
Thinking in Systems: A Primer,Donella Meadows,09/03/2025,06/07/2025,119d,FALSE
Тигролови,Іван Багряний,18/11/2024,27/11/2024,9d,TRUE
ProGit,,01/11/2024,,,FALSE
Stop worrying and start living,Dale Carnegie,01/10/2024,,,FALSE
Inspired,Marty Cagan,24/09/2024,20/11/2024,57d,FALSE
One Hundred Years of Solitude,Gabriel Garcia Marquez,24/09/2024,,,TRUE
The Plague ,Albert Camus,02/09/2024,20/09/2024,18d,TRUE
The Stranger,Albert Camus,27/08/2024,01/09/2024,5d,TRUE
Meditation manual (Nikitos),,13/08/2024,26/08/2024,13d,FALSE
It didn’t start with you,Mark Wolynn ,02/08/2024,,,FALSE
Creating a life: finding your individual path,James Hollis,01/08/2024,,,FALSE
Tuesdays with Morrie,Mitch Albom,15/06/2024,27/06/2024,12d,FALSE
Тато і море,Туве Янсон,14/04/2024,14/05/2024,30d,TRUE
Permission to Feel ,Marc Brackett,08/04/2024,08/05/2024,30d,FALSE
Meditations,Marcus Aurelius,25/03/2024,,,FALSE
The Obstacle is the Way,Ryan Holiday,20/02/2024,03/03/2024,12d,FALSE
Farewell to Arms ,Ernest Hemingway,10/02/2024,20/02/2024,10d,TRUE
Make Something Wonderful: Steve Jobs in his own words,Laurene Powel Jobs,31/01/2024,10/02/2024,10d,FALSE
The Three-Body Problem - Death’s End (book 3),Liu Cixin,20/01/2024,31/01/2024,11d,TRUE
The Three-Body Problem - The Dark Forrest (book 2),Liu Cixin,10/01/2024,20/01/2024,10d,TRUE
The Three-Body Problem (book 1),Liu Cixin,01/01/2024,10/01/2024,9d,TRUE
Let them,Me Robbins,24/10/2025,,,FALSE
American kingpin ,Nick Bilton,19/11/2025,29/11/2025,10d,FALSE
"Thinking, fast and slow",Daniel Kahneman,30/11/2025,,,FALSE
Гріх на душу ,Мартин Якуб,02/01/2026,,,TRUE
Ender’s game,Orson Scott Card,07/01/2026,,,TRUE
A Wrinkle in Time,Madeleine L'Engle,17/01/2026,25/01/2026,8d,TRUE
A Philosophy of Software Design,John K. Ousterhout,02/03/2026,,,FALSE
